,result,table,duration_in_ms,event_code,header.cycle_id,header.run_id,tag,timestamp,user_message
585,_result,0,0.0,300.0,64,RAFCON_6fe11a087d844888b527cad1140070f4,cycle,1632318939.4659781,QA_PASS
586,_result,0,0.0,200.0,65,RAFCON_6fe11a087d844888b527cad1140070f4,,1632318939.7286046,CYCLE_START
587,_result,0,0.0,300.0,65,RAFCON_6fe11a087d844888b527cad1140070f4,step_1,1632318943.5482666,QA_PASS
588,_result,0,0.0,300.0,65,RAFCON_6fe11a087d844888b527cad1140070f4,step_2,1632318949.6114154,QA_PASS
589,_result,0,0.0,102.0,65,RAFCON_6fe11a087d844888b527cad1140070f4,,1632318949.6958992,TASK_PAUSED
590,_result,0,1645.0,103.0,65,RAFCON_6fe11a087d844888b527cad1140070f4,,1632318951.3069522,TASK_RESUMED
591,_result,0,0.0,300.0,65,RAFCON_6fe11a087d844888b527cad1140070f4,step_3,1632318952.9607491,QA_PASS
592,_result,0,0.0,201.0,65,RAFCON_6fe11a087d844888b527cad1140070f4,,1632318952.9947827,CYCLE_END
593,_result,0,13431.0,202.0,65,RAFCON_6fe11a087d844888b527cad1140070f4,,1632318953.0578747,CYCLE_TIME
594,_result,0,0.0,300.0,65,RAFCON_6fe11a087d844888b527cad1140070f4,cycle,1632318953.1064365,QA_PASS
595,_result,0,0.0,200.0,66,RAFCON_6fe11a087d844888b527cad1140070f4,,1632318953.2527194,CYCLE_START
596,_result,0,0.0,300.0,66,RAFCON_6fe11a087d844888b527cad1140070f4,step_1,1632318962.2000825,QA_PASS
597,_result,0,0.0,301.0,66,RAFCON_6fe11a087d844888b527cad1140070f4,step_2,1632318963.0112414,QA_FAIL
598,_result,0,0.0,102.0,66,RAFCON_6fe11a087d844888b527cad1140070f4,,1632318963.2018385,TASK_PAUSED
599,_result,0,651.0,103.0,66,RAFCON_6fe11a087d844888b527cad1140070f4,,1632318963.8221335,TASK_RESUMED
600,_result,0,0.0,301.0,66,RAFCON_6fe11a087d844888b527cad1140070f4,step_3,1632318964.9705393,QA_FAIL
601,_result,0,0.0,201.0,66,RAFCON_6fe11a087d844888b527cad1140070f4,,1632318965.0205762,CYCLE_END
602,_result,0,11866.0,202.0,66,RAFCON_6fe11a087d844888b527cad1140070f4,,1632318965.0984468,CYCLE_TIME
603,_result,0,0.0,300.0,66,RAFCON_6fe11a087d844888b527cad1140070f4,cycle,1632318965.1843498,QA_PASS
604,_result,0,0.0,200.0,67,RAFCON_6fe11a087d844888b527cad1140070f4,,1632318965.3738046,CYCLE_START
605,_result,0,0.0,301.0,67,RAFCON_6fe11a087d844888b527cad1140070f4,step_1,1632318971.4036179,QA_FAIL
606,_result,0,0.0,301.0,67,RAFCON_6fe11a087d844888b527cad1140070f4,step_2,1632318981.1971583,QA_FAIL
607,_result,0,0.0,102.0,67,RAFCON_6fe11a087d844888b527cad1140070f4,,1632318981.2688067,TASK_PAUSED
608,_result,0,1554.0,103.0,67,RAFCON_6fe11a087d844888b527cad1140070f4,,1632318982.8082035,TASK_RESUMED
609,_result,0,0.0,300.0,67,RAFCON_6fe11a087d844888b527cad1140070f4,step_3,1632318990.4157448,QA_PASS
610,_result,0,0.0,201.0,67,RAFCON_6fe11a087d844888b527cad1140070f4,,1632318990.467162,CYCLE_END
611,_result,0,25222.0,202.0,67,RAFCON_6fe11a087d844888b527cad1140070f4,,1632318990.5122452,CYCLE_TIME
612,_result,0,0.0,300.0,67,RAFCON_6fe11a087d844888b527cad1140070f4,cycle,1632318990.5347927,QA_PASS
613,_result,0,0.0,200.0,68,RAFCON_6fe11a087d844888b527cad1140070f4,,1632318990.5807254,CYCLE_START
614,_result,0,0.0,300.0,68,RAFCON_6fe11a087d844888b527cad1140070f4,step_1,1632318998.192909,QA_PASS
615,_result,0,0.0,301.0,68,RAFCON_6fe11a087d844888b527cad1140070f4,step_2,1632319005.7540886,QA_FAIL
616,_result,0,0.0,102.0,68,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319005.8896081,TASK_PAUSED
617,_result,0,2141.0,103.0,68,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319007.9578762,TASK_RESUMED
618,_result,0,0.0,301.0,68,RAFCON_6fe11a087d844888b527cad1140070f4,step_3,1632319014.198049,QA_FAIL
